row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NA,NA,NA,HP-30(A),HP-30(A),HP-30(A),HP-30(A),NA,NA,NA,NA
B,NA,NA,NA,NA,HP-30(B),HP-30(B),HP-30(B),HP-30(B),NA,NA,NA,NA
C,NA,NA,NA,NA,NL-W2-200,NL-W2-200,NL-W2-200,NA,NA,NA,NA,NA
D,NA,NA,NA,NA,NL-W2-500,NL-W2-500,NL-W2-500,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NL-W1-200,NL-W1-200,NL-W1-200,NA,NA,NA,NA,NA
F,NA,NA,NA,NA,HP-30-SN,HP-30-SN,HP-30-SN,HP-30-SN,NA,NA,NA,NA
G,NA,NA,NA,NA,HP-30(C),HP-30(C),HP-30(C),HP-30(C),NA,NA,NA,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
